Date,SPY,CPI Index,10-Year Rate,30-Year Rate
5/5/1980,106.38,80.9,10.18%,10.35%
5/6/1980,106.25,80.9,9.80%,10.23%
5/7/1980,107.18,80.9,9.96%,10.19%
5/8/1980,106.13,80.9,10.18%,10.34%
5/9/1980,104.72,80.9,10.30%,10.41%
5/12/1980,104.78,80.9,10.30%,10.44%
5/13/1980,106.3,80.9,10.13%,10.29%
5/14/1980,106.85,80.9,10.14%,10.26%
5/15/1980,106.99,80.9,10.31%,10.46%
5/16/1980,107.35,80.9,10.37%,10.53%
5/19/1980,107.67,80.9,10.53%,10.68%
5/20/1980,107.62,80.9,10.22%,10.47%
5/21/1980,107.72,80.9,10.08%,10.31%
5/22/1980,109.01,80.9,10.10%,10.34%
5/23/1980,110.62,80.9,9.85%,10.09%
5/27/1980,111.4,80.9,9.96%,10.10%
5/28/1980,112.06,80.9,10.10%,10.22%
5/29/1980,110.27,80.9,10.24%,10.32%
5/30/1980,111.24,80.9,10.25%,10.37%
6/2/1980,110.76,81.7,10.31%,10.45%
6/3/1980,110.51,81.7,10.16%,10.29%
6/4/1980,112.61,81.7,10.07%,10.18%
6/5/1980,112.78,81.7,10.02%,10.08%
6/6/1980,113.2,81.7,9.81%,9.87%
6/9/1980,113.71,81.7,9.73%,9.75%
6/10/1980,114.66,81.7,9.83%,9.88%
6/11/1980,116.02,81.7,9.70%,9.79%
6/12/1980,115.52,81.7,9.53%,9.60%
6/13/1980,115.81,81.7,9.51%,9.49%
6/16/1980,116.09,81.7,9.47%,9.49%
6/17/1980,116.03,81.7,9.49%,9.52%
6/18/1980,116.26,81.7,9.56%,9.60%
6/19/1980,114.66,81.7,9.56%,9.57%
6/20/1980,114.06,81.7,9.49%,9.50%
6/23/1980,114.51,81.7,9.63%,9.66%
6/24/1980,115.14,81.7,9.68%,9.70%
6/25/1980,116.72,81.7,9.79%,9.79%
6/26/1980,116.19,81.7,9.87%,9.91%
6/27/1980,116,81.7,10.04%,9.97%
6/30/1980,114.24,82.5,10.09%,9.99%
7/1/1980,114.93,82.5,10.13%,10.12%
7/2/1980,115.68,82.5,10.19%,10.12%
7/3/1980,117.46,82.5,10.01%,10.00%
7/7/1980,118.29,82.5,10.20%,10.22%
7/8/1980,117.84,82.5,10.09%,10.06%
7/9/1980,117.98,82.5,10.14%,10.14%
7/10/1980,116.95,82.5,10.21%,10.21%
7/11/1980,117.84,82.5,10.28%,10.30%
7/14/1980,120.01,82.5,10.33%,10.36%
7/15/1980,119.3,82.5,10.17%,10.19%
7/16/1980,119.63,82.5,10.07%,10.05%
7/17/1980,121.44,82.5,10.21%,10.15%
7/18/1980,122.04,82.5,10.20%,10.19%
7/21/1980,122.51,82.5,10.13%,10.11%
7/22/1980,122.19,82.5,10.18%,10.18%
7/23/1980,121.93,82.5,10.12%,10.15%
7/24/1980,121.79,82.5,10.24%,10.24%
7/25/1980,120.78,82.5,10.35%,10.33%
7/28/1980,121.43,82.5,10.46%,10.42%
7/29/1980,122.4,82.5,10.45%,10.40%
7/30/1980,122.23,82.5,10.53%,10.51%
7/31/1980,121.67,82.6,10.76%,10.80%
8/1/1980,121.21,82.6,10.76%,10.76%
8/4/1980,120.98,82.6,10.69%,10.68%
8/5/1980,120.74,82.6,10.70%,10.69%
8/6/1980,121.55,82.6,10.80%,10.73%
8/7/1980,123.3,82.6,10.71%,10.68%
8/8/1980,123.61,82.6,10.87%,10.90%
8/11/1980,124.78,82.6,11.03%,11.05%
8/12/1980,123.79,82.6,10.98%,11.01%
8/13/1980,123.28,82.6,10.89%,10.93%
8/14/1980,125.25,82.6,10.90%,10.90%
8/15/1980,125.72,82.6,10.86%,10.83%
8/18/1980,123.39,82.6,11.13%,11.02%
8/19/1980,122.6,82.6,11.24%,11.16%
8/20/1980,123.77,82.6,11.22%,11.13%
8/21/1980,125.46,82.6,11.30%,11.15%
8/22/1980,126.02,82.6,11.13%,11.01%
8/25/1980,125.16,82.6,11.40%,11.18%
8/26/1980,124.84,82.6,11.42%,11.18%
8/27/1980,123.52,82.6,11.67%,11.33%
8/28/1980,122.08,82.6,11.89%,11.43%
8/29/1980,122.38,82.6,11.55%,11.27%
9/2/1980,123.74,83.2,11.32%,11.08%
9/3/1980,126.12,83.2,11.08%,10.94%
9/4/1980,125.42,83.2,11.16%,11.02%
9/5/1980,124.88,83.2,11.21%,11.06%
9/8/1980,123.31,83.2,11.29%,11.15%
9/9/1980,124.07,83.2,11.19%,11.05%
9/10/1980,124.81,83.2,11.14%,11.02%
9/11/1980,125.66,83.2,11.32%,11.15%
9/12/1980,125.54,83.2,11.37%,11.18%
9/15/1980,125.67,83.2,11.62%,11.38%
9/16/1980,126.74,83.2,11.52%,11.33%
9/17/1980,128.87,83.2,11.57%,11.41%
9/18/1980,128.4,83.2,11.53%,11.35%
9/19/1980,129.25,83.2,11.33%,11.25%
9/22/1980,130.4,83.2,11.69%,11.60%
9/23/1980,129.43,83.2,11.76%,11.53%
9/24/1980,130.37,83.2,11.75%,11.53%
9/25/1980,128.72,83.2,11.91%,11.66%
9/26/1980,126.35,83.2,11.99%,11.81%
9/29/1980,123.54,83.2,12.07%,11.93%
9/30/1980,125.46,83.9,11.86%,11.70%
10/1/1980,127.13,83.9,11.78%,11.69%
10/2/1980,128.09,83.9,11.83%,11.66%
10/3/1980,129.33,83.9,11.40%,11.33%
10/6/1980,131.73,83.9,11.35%,11.26%
10/7/1980,131,83.9,11.43%,11.30%
10/8/1980,131.65,83.9,11.51%,11.38%
10/9/1980,131.04,83.9,11.39%,11.21%
10/10/1980,130.29,83.9,11.44%,11.26%
10/13/1980,132.03,83.9,11.44%,11.26%
10/14/1980,132.02,83.9,11.37%,11.16%
10/15/1980,133.7,83.9,11.29%,11.11%
10/16/1980,132.22,83.9,11.47%,11.27%
10/17/1980,131.52,83.9,11.62%,11.44%
10/20/1980,132.61,83.9,11.64%,11.44%
10/21/1980,131.84,83.9,11.70%,11.53%
10/22/1980,131.92,83.9,11.88%,11.74%
10/23/1980,129.53,83.9,11.82%,11.68%
10/24/1980,129.85,83.9,11.74%,11.61%
10/27/1980,127.88,83.9,12.13%,11.96%
10/28/1980,128.05,83.9,12.32%,12.14%
10/29/1980,127.91,83.9,12.48%,12.21%
10/30/1980,126.29,83.9,12.48%,12.28%
10/31/1980,127.47,84.7,12.46%,12.23%
11/3/1980,129.04,84.7,12.46%,12.22%
11/5/1980,131.33,84.7,12.61%,12.36%
11/6/1980,128.91,84.7,13.04%,12.59%
11/7/1980,129.18,84.7,12.66%,12.59%
11/10/1980,129.48,84.7,12.78%,12.71%
11/11/1980,131.26,84.7,12.78%,12.71%
