Date,Value
01/31/30,15.35
02/28/30,16.51
03/31/30,18.22
04/30/30,17.83
05/31/30,16.68
06/30/30,17.03
07/31/30,17.57
08/31/30,18.39
09/30/30,16.64
10/31/30,16.25
11/30/30,15.99
12/31/30,17
01/31/31,18.9
02/28/31,19.92
03/31/31,18.66
04/30/31,17.48
05/31/31,17.56
06/30/31,18.86
07/31/31,19.04
08/31/31,16.9
09/30/31,15.3
10/31/31,16.23
11/30/31,13.84
12/31/31,13.99
01/31/32,14.27
02/29/32,14.75
03/31/32,11.56
04/30/32,10.46
05/31/32,9.35
06/30/32,10.16
07/31/32,15.8
08/31/32,17.96
09/30/32,16.06
10/31/32,16.52
11/30/32,16.63
12/31/32,17.19
01/31/33,15.06
02/28/33,14.92
03/31/33,16.4
04/30/33,20.99
05/31/33,24.45
06/30/33,26.27
07/31/33,24.81
08/31/33,24.46
09/30/33,21.95
10/31/33,22.35
11/30/33,22.66
12/31/33,23.73
01/31/34,25.25
02/28/34,23.73
03/31/34,23.91
04/30/34,21.29
05/31/34,21.38
06/30/34,20.18
07/31/34,19.23
08/31/34,18.6
09/30/34,18.58
10/31/34,18.94
11/30/34,18.9
12/31/34,16.25
01/31/35,13.82
02/28/35,11.52
03/31/35,11.95
04/30/35,12.45
05/31/35,12.49
06/30/35,13.42
07/31/35,14.64
08/31/35,15.28
09/30/35,15.68
10/31/35,17.16
11/30/35,17.16
12/31/35,17.87
01/31/36,18.65
02/29/36,18.81
03/31/36,18.15
04/30/36,16.58
05/31/36,16.69
06/30/36,17.29
07/31/36,17.25
08/31/36,17.07
09/30/36,17.47
10/31/36,17.48
11/30/36,16.73
12/31/36,16.75
01/31/37,16.77
02/28/37,16.3
03/31/37,15.05
04/30/37,14.13
05/31/37,13.37
06/30/37,13.96
07/31/37,13.91
08/31/37,11.78
09/30/37,10.32
10/31/37,9.66
11/30/37,9.75
12/31/37,10.5
01/31/38,10.79
02/28/38,10.63
03/31/38,10.95
04/30/38,11.93
05/31/38,13.26
06/30/38,17
07/31/38,18.37
08/31/38,18.95
09/30/38,20.84
10/31/38,20.64
11/30/38,19.83
12/31/38,18.84
01/31/39,18.06
02/28/39,17.45
03/31/39,14.9
04/30/39,15.11
05/31/39,15.04
06/30/39,15.08
07/31/39,14.55
08/31/39,15.77
09/30/39,15.36
10/31/39,14.56
11/30/39,13.74
12/31/39,13.23
01/31/40,12.73
